acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,Location
312312,,Slight,1,1,06/06/2012,Wednesday,6,June,12,9,0,230,Unclassified,,"Single carriageway - 2 lanes",30,Crossroads,"Give way sign or markings",Unclassified,,"Daylight: street lights present","Raining (without high winds)",Dry,None,None,"No overtaking",323450,671640,522249,Junction,Pedestrian,354945,unset,EH111RT,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.93171,-3.22681"
314412,,Slight,2,1,07/06/2012,Thursday,7,June,12,9,5,230,Unclassified,,"Single carriageway - 2 lanes",20,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",326980,674390,520734,Junction,Cyclist,354946,unset,EH75DL,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.95697,-3.17107"
314612,,Slight,2,1,02/06/2012,Saturday,2,June,12,17,25,230,A,8,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",322140,673150,521247,Junction,T.V.N.P.,354947,unset,EH126HS,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94507,-3.24821"
315112,,Slight,2,1,07/06/2012,Thursday,7,June,12,15,15,230,C,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting",Other,Dry,None,None,"No overtaking",325120,673230,2106547,Segment,Cyclist,354948,unset,EH12LE,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94626,-3.20053"
315512,,Slight,2,1,07/06/2012,Thursday,7,June,12,9,30,230,Motorway,8,Roundabout,70,Roundabout,"Automatic Traffic Signal",Motorway,8,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",318190,670990,6453709,Junction,T.V.N.P.,354949,unset,EH129BU,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.92501,-3.31078"
316912,,Slight,3,1,08/06/2012,Friday,8,June,12,8,50,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",324050,673580,565907,Segment,M.V.N.P.,354950,unset,EH37EN,"Control by other authorised person","Pedestrian phase at traffic signal junction","At scene","55.94924,-3.21776"
318312,,Slight,3,1,07/06/2012,Thursday,7,June,12,15,15,230,Unclassified,,"Single carriageway - 2 lanes",30,"Using private drive or entrance",unset,"\",,"Daylight: street lights present","Raining (without high winds)",Dry,None,None,"No overtaking",319390,670750,562765,Segment,M.V.N.P.,354951,unset,EH114HD,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.92305,-3.29151"
319412,,Slight,2,1,09/06/2012,Saturday,9,June,12,18,5,230,C,,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",C,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",325090,674140,520548,Junction,Cyclist,354952,unset,EH21JX,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.95443,-3.20126"
321812,,Serious,1,1,11/06/2012,Monday,11,June,12,0,33,230,C,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",325970,673490,521577,Junction,Pedestrian,354953,unset,EH11NQ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94873,-3.187"
323012,,Slight,1,1,11/06/2012,Monday,11,June,12,19,40,230,A,7,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",326300,672690,532693,Junction,Pedestrian,354954,unset,EH89JG,"Control by other authorised person","Pedestrian phase at traffic signal junction","At scene","55.94159,-3.1815"
323212,,Slight,2,1,06/06/2012,Wednesday,6,June,12,8,50,230,Unclassified,,"Single carriageway - 2 lanes",30,Roundabout,"Give way sign or markings",Unclassified,,"Daylight: street lights present","Raining (without high winds)",Dry,None,None,"No overtaking",323420,671340,529591,Junction,Cyclist,354955,unset,EH105BT,"Control by other authorised person","Pedestrian phase at traffic signal junction",Elsewhere,"55.92901,-3.22721"
323612,,Slight,1,1,11/06/2012,Monday,11,June,12,11,40,230,A,772,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",B,701,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",329230,668690,530257,Junction,Bus,354956,unset,EH178QQ,"Control by other authorised person","Pedestrian phase at traffic signal junction",Elsewhere,"55.90609,-3.13355"
323812,,Slight,2,1,11/06/2012,Monday,11,June,12,17,40,230,B,701,Roundabout,40,Roundabout,"Give way sign or markings",Unclassified,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",320180,669310,533254,Junction,Cyclist,354957,unset,EH143BR,"Control by other authorised person","No physical crossing facility within 50m","At scene","55.91025,-3.27844"
324212,,Slight,2,1,06/06/2012,Wednesday,6,June,12,17,30,230,C,,Roundabout,30,Roundabout,"Give way sign or markings",B,901,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",325740,674690,520209,Junction,Cyclist,354958,unset,EH74BL,"Control by other authorised person","Pedestrian phase at traffic signal junction","At scene","55.95947,-3.19101"
